Country,Year,SP.POP.TOTL,SH.TBS.INCD,SH.IMM.MEAS,SE.XPD.TOTL.GD.ZS,SH.DYN.AIDS.ZS,SP.DYN.LE00.IN,SH.IMM.IDPT,SH.XPD.CHEX.GD.ZS,SN.ITK.DEFC.ZS,NY.GDP.PCAP.CD
Afghanistan,2005,24411191.0,189.0,50.0,2.5699999332428,0.1,58.361,58.0,9.94828987,36.1,255.05511997846034
Afghanistan,2006,25442944.0,189.0,53.0,2.90000009536743,0.1,58.684,58.0,10.62276554,33.3,274.00048647134827
Afghanistan,2007,25903301.0,189.0,55.0,2.84999990463257,0.1,59.111,63.0,9.90467453,29.8,375.0781280653931
Afghanistan,2008,26427199.0,189.0,59.0,3.50999999046326,0.1,59.852,64.0,10.25649548,26.5,387.84917430004737
Afghanistan,2009,27385307.0,189.0,60.0,3.73000001907349,0.1,60.364,63.0,9.81848717,23.3,443.84515053633174
Afghanistan,2010,28189672.0,189.0,62.0,3.4794499874115,0.1,60.851,66.0,8.56967163,21.2,554.5952002223537
Afghanistan,2011,29249157.0,189.0,64.0,3.4620099067688,0.1,61.419,68.0,8.56190681,20.2,621.9123108615917
Afghanistan,2012,30466479.0,189.0,59.0,3.3199999332428,0.1,61.923,67.0,7.89717579,21.1,663.1410528109367
Afghanistan,2013,31541209.0,189.0,57.0,3.45445990562439,0.1,62.417,64.0,8.80594063,20.7,651.9878619481084
Afghanistan,2014,32716210.0,189.0,60.0,3.69521999359131,0.1,62.545,62.0,9.52887058,20.7,628.1468038884957
Afghanistan,2015,33753499.0,189.0,62.0,3.2558000087738,0.1,62.659,64.0,10.10534763,21.5,592.4765374516808
Afghanistan,2016,34636207.0,189.0,64.0,3.5119800567627,0.1,63.136,66.0,11.81856155,22.2,520.2520640311508
Afghanistan,2017,35643418.0,189.0,67.0,3.37331008911133,0.1,63.016,66.0,12.62081718,23.0,530.1498308029836
Afghanistan,2018,36686784.0,189.0,71.0,3.19979000091553,0.1,63.081,72.0,14.12674332,24.0,502.05677062297264
Afghanistan,2019,37769499.0,189.0,64.0,3.21377992630005,0.1,63.565,72.0,13.24220181,26.9,500.5226641452942
