Country;Year;Continent;Least Developed;Life Expectancy;Population;CO2 emissions;Health expenditure;Electric power consumption;Forest area;GDP per capita;Individuals using the Internet;Military expenditure;People practicing open defecation;People using at least basic drinking water services;Obesity among adults;Beer consumption per capita
Albania;2000;Europe;FALSE;73.955;3089027;1.026213109;7.2333703;1414.703784;28.07664234;3860.804627;0.114097347;1.246360242;0.888852778;86.75447063;12.8;1.33431
Albania;2001;Europe;FALSE;74.288;3060173;1.055495882;7.13952398;1449.647413;28.12324818;4299.546493;0.325798377;1.309291375;0.836397052;86.90407032;13.3;1.48995
Albania;2002;Europe;FALSE;74.579;3051010;1.232378783;6.90934134;1351.230796;28.16985401;4661.402695;0.390081273;1.320034494;0.781898762;87.45163517;13.9;1.28697
Albania;2003;Europe;FALSE;74.828;3039616;1.338984981;7.06348991;1578.165919;28.21645985;5000.049363;0.971900415;1.336842924;0.728191005;87.98719397;14.4;1.4483
Albania;2004;Europe;FALSE;75.039;3026939;1.404058688;6.77337217;1469.264539;28.26306569;5427.732662;2.420387798;1.381157942;0.675280758;88.51058296;15;1.37617
Albania;2005;Europe;FALSE;75.228;3011487;1.338209399;6.33554173;1797.525487;28.30967153;5865.301904;6.043890864;1.350004971;0.623198199;89.02118831;15.6;1.6518
Albania;2006;Europe;FALSE;75.423;2992547;1.339995739;6.00927734;1722.07285;28.35627737;6566.572828;9.609991316;1.567769089;0.571934833;89.51913233;16.2;1.7933
Albania;2007;Europe;FALSE;75.646;2970017;1.39393137;6.31683397;1218.360146;28.40288321;7283.342638;15.03611541;1.820765344;0.521500352;90.00418728;16.9;1.94369
Albania;2008;Europe;FALSE;75.912;2947314;1.384311249;5.1390624;1213.124369;28.44948905;8228.348041;23.86;1.984868857;0.471902868;90.47615076;17.5;2.12835
Albania;2009;Europe;FALSE;76.221;2927519;1.441493562;4.6022253;1617.744156;28.49609489;8813.029461;41.2;1.51721714;0.423170008;90.93441293;18.1;2.20543
Albania;2010;Europe;FALSE;76.562;2913021;1.527623663;4.7457962;1835.684072;28.54270073;9628.721962;45;1.558591893;0.375274153;91.37947821;18.7;1.71
Albania;2011;Europe;FALSE;76.914;2905195;1.66942319;4.79534149;1943.343354;28.59465328;10207.76757;47;1.528266338;0.32823482;91.81088697;19.3;1.88
Albania;2012;Europe;FALSE;77.252;2900401;1.50324046;5.05526543;2205.70392;28.64660584;10526.25918;49.4;1.487082577;0.282042419;92.22877874;19.9;1.34
Albania;2013;Europe;FALSE;77.554;2895092;1.533630039;5.38561106;2118.327776;28.69855839;10570.96373;51.8;1.408982101;0.236762285;92.63159485;20.5;1.34
Albania;2014;Europe;FALSE;77.813;2889104;1.668337371;5.50347328;2533.252829;28.75051095;11259.26751;54.3;1.346515991;0.139691059;93.02005646;21.1;1.29
Albania;2015;Europe;FALSE;78.025;2880703;1.60377515;4.89631176;2309.366503;28.8024635;11658.90552;56.9;1.162303864;0.109372147;93.39432534;21.7;1.48
Algeria;2000;Africa;FALSE;70.64;31042238;2.578744484;3.48903275;652.8013246;0.662960693;8436.99096;0.491705679;3.433385635;6.233949004;89.84882827;15;0.11978
Algeria;2001;Africa;FALSE;71.116;31451513;2.50067461;3.83787704;683.2948063;0.677193984;8770.253502;0.646114017;3.820695463;5.816862792;90.11344378;15.5;0.10026
Algeria;2002;Africa;FALSE;71.605;31855110;2.586712195;3.7300415;709.0914831;0.691427276;9286.56088;1.59164126;3.700829359;5.411176259;90.37379792;16.1;0.17177
Algeria;2003;Africa;FALSE;72.101;32264159;2.733373662;3.60104108;730.808966;0.705660567;10022.96478;2.195359731;3.251210893;5.017041887;90.62972314;16.7;0.19139
Algeria;2004;Africa;FALSE;72.594;32692153;2.737354064;3.5440731;786.4144235;0.719893859;10594.04572;4.634475088;3.283884523;4.634333998;90.88125597;17.3;0.23826
Algeria;2005;Africa;FALSE;73.072;33149720;2.841351373;3.2351613;804.1073343;0.734127151;11411.19178;5.843942092;2.83417835;4.263133992;91.12824941;17.9;0.29652
Algeria;2006;Africa;FALSE;73.521;33641007;2.966914681;3.35510182;890.6259238;0.748360442;11788.56019;7.375984956;2.643807548;3.903086061;91.37095552;18.6;0.17637
Algeria;2007;Africa;FALSE;73.936;34166976;3.007289846;3.8214159;862.4295937;0.762593734;12326.07701;9.451190626;2.923321027;3.554243607;91.60922889;19.2;0.16596
Algeria;2008;Africa;FALSE;74.311;34730604;3.102451083;4.20188379;894.2845864;0.776827026;12655.21847;10.18;3.024747141;3.216277793;91.84330409;19.9;0.20481
Algeria;2009;Africa;FALSE;74.644;35333882;3.174573294;5.3593955;947.2913284;0.791060317;12719.17915;11.23;3.848513698;2.890114176;92.07203717;20.7;0.19895
Algeria;2010;Africa;FALSE;74.938;35977451;3.173654529;5.11717176;866.3073024;0.805293609;13096.88473;12.5;3.518012609;2.574999351;92.29597417;21.4;0.18
Algeria;2011;Africa;FALSE;75.199;36661438;3.294742583;5.26748085;1016.636782;0.808484553;13500.04479;14.9;4.325706359;2.270808327;92.51499419;22.2;0.21
Algeria;2012;Africa;FALSE;75.436;37383899;3.609307651;6.00050974;1123.332915;0.811675498;13303.32752;18.2;4.46107862;1.977114639;92.74518845;23.1;0.23
Algeria;2013;Africa;FALSE;75.661;38140135;3.644979345;6.03576279;1237.966109;0.814866442;13056.80259;22.5;4.844508917;1.693614807;92.97088353;23.9;0.26
Algeria;2014;Africa;FALSE;75.878;38923688;3.795632251;6.54721403;1278.915242;0.818057387;13003.26686;29.5;5.548483336;1.419856885;93.19235149;24.8;0.28
Algeria;2015;Africa;FALSE;76.09;39728020;3.933495912;6.9784894;1362.871884;0.821247986;12015.64053;38.2;6.270242856;1.155577807;93.40956153;25.7;0.31
Angola;2000;Africa;TRUE;46.522;16395477;0.988077383;1.90859938;71.91083863;62.33144301;3271.270265;0.105045562;6.392603154;42.86651576;41.14430792;3;0.90147
Angola;2001;Africa;TRUE;47.059;16945753;0.941828905;4.48351622;75.26465988;61.88621882;3372.470708;0.136013867;4.524353815;41.41483035;42.25467641;3.1;1.186
Angola;2002;Africa;TRUE;47.702;17519418;0.895577672;3.32946134;82.61657065;61.44099463;3765.608654;0.270376746;2.869932445;39.9543904;43.37679859;3.3;1.31104
